日付,カテゴリ,商品名,単価,数量
2026-01-01,オフィス家具,スチールデスク,24800,5
2026-01-02,オフィス家具,書棚,9800,1
2026-01-03,オフィス家具,書棚,9800,4
2026-01-03,電化製品,USBハブ,2980,5
2026-01-04,文具,コピー用紙(500枚),480,2
2026-01-04,電化製品,27型モニター,21800,6
2026-01-07,文具,コピー用紙(500枚),480,6
2026-01-08,オフィス家具,スチールデスク,24800,4
2026-01-08,オフィス家具,書棚,9800,1
2026-01-08,文具,ボールペン(12本),1500,8
2026-01-08,オフィス家具,書棚,9800,-2
2026-01-09,文具,コピー用紙(500枚),480,3
2026-01-18,電化製品,メカニカルキーボード,4500,2
2026-01-19,電化製品,USBハブ,2980,4
2026-01-20,電化製品,27型モニター,21800,5
2026-01-22,オフィス家具,オフィスチェア,15800,2
2026-01-23,文具,ボールペン(12本),1500,7
2026-01-23,文具,A4ノート(5冊),1600,7
2026-01-24,オフィス家具,オフィスチェア,15800,2
2026-01-24,電化製品,メカニカルキーボード,4500,8
2026-01-25,文具,A4ノート(5冊),1600,3
2026-01-26,文具,A4ノート(5冊),1600,1
2026-01-27,電化製品,USBハブ,2980,6
2026-01-28,電化製品,27型モニター,21800,6
2026-02-03,電化製品,メカニカルキーボード,4500,-1
2026-02-05,電化製品,メカニカルキーボード,4500,5
2026-02-05,電化製品,メカニカルキーボード,4500,4
2026-02-06,オフィス家具,オフィスチェア,15800,6
2026-02-06,文具,ボールペン(12本),1500,8
2026-02-07,オフィス家具,書棚,9800,5
2026-02-07,電化製品,27型モニター,21800,6
2026-02-07,電化製品,27型モニター,21800,8
2026-02-09,オフィス家具,オフィスチェア,15800,8
2026-02-09,電化製品,27型モニター,21800,2
2026-02-12,電化製品,USBハブ,2980,4
2026-02-13,文具,ボールペン(12本),1500,5
2026-02-19,電化製品,USBハブ,2980,7
2026-02-20,オフィス家具,書棚,9800,3
2026-02-21,オフィス家具,オフィスチェア,15800,6
2026-02-21,電化製品,メカニカルキーボード,4500,8
2026-02-22,文具,A4ノート(5冊),1600,6
2026-02-23,オフィス家具,書棚,9800,2
2026-02-24,電化製品,USBハブ,2980,7
2026-02-26,文具,コピー用紙(500枚),480,6
2026-02-27,文具,A4ノート(5冊),1600,1
2026-02-27,文具,コピー用紙(500枚),480,1
2026-02-28,オフィス家具,スチールデスク,24800,4
2026-02-28,オフィス家具,スチールデスク,24800,2
2026-03-03,電化製品,USBハブ,2980,8
